商談ID,顧客企業名,商談発生日,クローズ日,最終活動日,業種,製品,商談区分,リード獲得元,エリア,企業規模,ステージ番号,ステージ,ステータス番号,ステータス,受注確度,失注理由,営業チーム,営業担当,金額,商談名,次のアクション
OPP-202404-00001,つばさ運輸,2024-04-04,2024-07-02,2024-04-08,製造,クラウド経費,既存深耕,インバウンド,関東,中堅,6,クロージング,2,受注,100,,第一営業部,中村,3870000,つばさ運輸 クラウド経費導入,
OPP-202404-00002,青葉システムズ,2024-04-23,2024-07-17,2024-06-06,製造,クラウド経費,更新,展示会,中部,中堅,6,クロージング,3,失注,0,価格,第一営業部,中村,2940000,青葉システムズ クラウド経費導入,
OPP-202404-00003,曙建設,2024-04-04,2024-08-04,2024-07-04,製造,スマート勤怠,既存深耕,展示会,九州,大企業,6,クロージング,2,受注,100,,第一営業部,加藤,3710000,曙建設 スマート勤怠導入,
OPP-202404-00004,大和精密,2024-04-02,2024-06-24,2024-06-24,IT,統合ダッシュボード,更新,紹介,関東,中小,6,クロージング,3,失注,0,価格,第一営業部,小林,1920000,大和精密 統合ダッシュボード導入,
OPP-202404-00005,富士見物産,2024-04-18,2024-05-26,2024-05-14,流通,統合ダッシュボード,既存深耕,Web,関西,中小,6,クロージング,3,失注,0,価格,西日本営業部,山本,840000,富士見物産 統合ダッシュボード導入,
OPP-202404-00006,さくらケミカル,2024-04-30,2024-10-26,2024-09-27,製造,クラウド経費,更新,Web,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,松本,7080000,さくらケミカル クラウド経費導入,
OPP-202404-00007,湊エレクトロニクス,2024-04-12,2024-08-17,2024-06-11,流通,クラウド経費,更新,展示会,関東,中堅,6,クロージング,2,受注,100,,第一営業部,小林,3700000,湊エレクトロニクス クラウド経費導入,
OPP-202404-00008,山田製作所,2024-04-09,2024-09-02,2024-06-16,公共,スマート勤怠,更新,Web,中部,中堅,6,クロージング,2,受注,100,,第一営業部,中村,3560000,山田製作所 スマート勤怠導入,
OPP-202404-00009,みなと商事,2024-04-25,2024-05-25,2024-05-11,IT,スマート勤怠,既存深耕,Web,関東,中小,6,クロージング,2,受注,100,,第一営業部,加藤,340000,みなと商事 スマート勤怠導入,
OPP-202404-00010,大和精密,2024-04-04,2024-06-05,2024-06-04,製造,スマート勤怠,既存深耕,展示会,中部,中小,6,クロージング,3,失注,0,競合,西日本営業部,山本,970000,大和精密 スマート勤怠導入,
OPP-202404-00011,つばさ運輸,2024-04-17,2024-09-09,2024-06-14,IT,クラウド経費,既存深耕,Web,関東,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,1320000,つばさ運輸 クラウド経費導入,
OPP-202404-00012,つばさ運輸,2024-04-11,2024-07-10,2024-06-13,金融,スマート勤怠,既存深耕,展示会,関東,大企業,6,クロージング,2,受注,100,,第一営業部,加藤,5190000,つばさ運輸 スマート勤怠導入,
OPP-202404-00013,曙建設,2024-04-18,2024-09-14,2024-05-02,金融,スマート勤怠,既存深耕,紹介,関東,中堅,6,クロージング,3,失注,0,時期,第一営業部,小林,4300000,曙建設 スマート勤怠導入,
OPP-202404-00014,さくらケミカル,2024-04-04,2024-08-25,2024-08-23,IT,スマート勤怠,新規,Web,関東,大企業,6,クロージング,3,失注,0,価格,第一営業部,中村,9670000,さくらケミカル スマート勤怠導入,
OPP-202404-00015,つばさ運輸,2024-04-18,2024-09-11,2024-09-08,製造,クラウド経費,新規,紹介,関東,中堅,6,クロージング,2,受注,100,,西日本営業部,松本,4380000,つばさ運輸 クラウド経費導入,
OPP-202404-00016,大和精密,2024-04-23,2024-07-02,2024-06-28,製造,スマート勤怠,更新,展示会,関東,大企業,6,クロージング,2,受注,100,,第一営業部,加藤,3820000,大和精密 スマート勤怠導入,
OPP-202404-00017,つばさ運輸,2024-04-03,2024-07-08,2024-07-04,流通,統合ダッシュボード,既存深耕,Web,関東,大企業,6,クロージング,2,受注,100,,西日本営業部,松本,6210000,つばさ運輸 統合ダッシュボード導入,
OPP-202404-00018,大和精密,2024-04-08,2024-07-01,2024-04-25,流通,統合ダッシュボード,更新,展示会,関西,中堅,6,クロージング,2,受注,100,,第一営業部,加藤,2780000,大和精密 統合ダッシュボード導入,
OPP-202404-00019,さくらケミカル,2024-04-29,2024-10-17,2024-10-16,製造,スマート勤怠,既存深耕,紹介,九州,中小,6,クロージング,2,受注,100,,第一営業部,加藤,560000,さくらケミカル スマート勤怠導入,
